,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,variety_color
61923,Australia,"This South Eastern Australia Chard packs quite a punch for the price. The nose is fresh but subtle, with hints of hand soap and cut apples. There's a luxurious quality to the palate that melds well with flavors of almond and pear and carries over to the silky, medium finish. Winds up on a note of tropical fruit. Drink now through 2011.",Estate Range,86,9.0,Australia Other,South Eastern Australia,,,,Beelgara 2008 Estate Range Chardonnay (South Eastern Australia),Chardonnay,Beelgara,#440154
62050,Australia,"You might not know it from this wine's rather austere exterior, but this is actually from a warm site within the cool Yarra Valley. It's a restrained, slightly herbal blend of 62% Cabernet, 27% Merlot and 11% Petit Verdot that finishes with a tough mouthful of tannin. Hold it for another 3–4 years and hope that the fruit holds up.",Harry's Monster,89,30.0,Victoria,Yarra Valley,,Joe Czerwinski,@JoeCz,Giant Steps 2006 Harry's Monster Red (Yarra Valley),Bordeaux-style Red Blend,Giant Steps,#1F938B
62058,Australia,"There's a slightly charry, roasted or asphalt top note to this wine's aromas, but the wine's flavors are an intriguing mix of cola, rhubarb and red berries, ending with mouthwatering raspberries coming to the fore. It's a full-bodied, creamy-textured wine that should be enjoyed over the next few years.",,89,17.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2007 Shiraz (Clare Valley),Shiraz,Wakefield,#471669
62213,Australia,"A solid value, the 2013 Shoofly is an open-knit, savory wine for drinking over the next year or two. Cola and earth predominate, dressed up by hints of dried spices and green coffee bean.",,87,14.0,Victoria,Yarra Valley,,Joe Czerwinski,@JoeCz,Shoofly 2013 Pinot Noir (Yarra Valley),Pinot Noir,Shoofly,#414286
62335,Australia,"This full-bodied, almost liquorous rendering of Mourvèdre is packed with fruit, power and finesse. Aromas of smoke, vanilla and graham crackers frame flavors of jammy blackberries and cassis. These finish with some alcoholic warmth yet remain plush and elegant. Drink now–2025.",The Pict,94,75.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Torbreck 2013 The Pict Mataro (Barossa Valley),Mataro,Torbreck,#70CE56
62372,Australia,"Like all of the 2006 Garden offerings from Two Hands, this one is full-bodied, creamy and makes a slightly sweet impression on the palate because of its combination of high alcohol (15.2%) and superripe fruit. Cedary, spicy oak accents raspberry and cassis flavors, which persist on the long finish. Drink now–2011.",Harry & Edward's Garden,90,60.0,South Australia,Langhorne Creek,,Joe Czerwinski,@JoeCz,Two Hands 2006 Harry & Edward's Garden Shiraz (Langhorne Creek),Shiraz,Two Hands,#471669
62515,Australia,"Toasty, mealy aromas combine with peach and smoke in a beguiling, complex nose that resembles a fine Chassagne-Montrachet. Flavors of peach and citrus coat the palate without ever seeming overly rich, heavy or oily, extending through the long ripe-citrus finish.",Picadilly,91,31.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Grosset 2000 Picadilly Chardonnay (Adelaide Hills),Chardonnay,Grosset,#440154
62556,Australia,"An icon in Australia, Mount Mary has never made a huge splash here in the States. Perhaps because such miniscule quantities are available (30 cases of the 2005 Quintet). The 2005 Quintet presents as a medium-bodied, nicely rounded Bordeaux-style blend, marrying cedary, meaty notes with cherry fruit and graced with touches of cinnamon and mushroom. It's nicely balanced and reasonably complex; ready to drink now.",Quintet,88,145.0,Victoria,Yarra Valley,,Joe Czerwinski,@JoeCz,Mount Mary 2005 Quintet Red (Yarra Valley),Bordeaux-style Red Blend,Mount Mary,#1F938B
62604,Australia,"Simple, confected fruit flavors mark this youthfully aggressive blend. There's plenty of intensity, just a lack of focus to its rambunctious fruit.",dB Selection Shiraz-Cabernet,83,10.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,De Bortoli 2007 dB Selection Shiraz-Cabernet Shiraz-Cabernet Sauvignon (South Eastern Australia),Shiraz-Cabernet Sauvignon,De Bortoli,#460B5E
62613,Australia,"This 75-25 blend is pretty neutral in character; with effort, it's possible to suss out hints of fresh dill, bergamot and graphite. The wine just seems too restrained for its own good.",,83,20.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Vasse River 2006 Semillon-Sauvignon Blanc (Margaret River),Semillon-Sauvignon Blanc,Vasse River,#3A538B
62616,Australia,"This cleanly made Shiraz boasts decent aromas and flavors of blackberries, chocolate and earth, but lacks weight on the palate and shows some heat on the finish.",,83,12.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Red Knot 2006 Shiraz (McLaren Vale),Shiraz,Red Knot,#471669
62624,Australia,"This checks all the aromatic boxes for Riesling, hitting notes of spring flowers, stone fruit and citrus. Then it settles down on the palate, offering classic wet stone and lime sherbet flavors that would be classic, if only they lasted a little longer on the finish. Drink now–2025.",,88,17.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2014 Riesling (Clare Valley),Riesling,Wakefield,#443982
62801,Australia,"D'Arenberg wines are typically quite structured, so this wine's full body and creamy texture come as a bit of a surprise. Earthy, loamy notes run alongside espresso, black olive and blueberry before finishing long and silky. Drink now–2020.",Shipster's Rapture Single Vineyard,92,85.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2010 Shipster's Rapture Single Vineyard Shiraz (McLaren Vale),Shiraz,D'Arenberg,#471669
62806,Australia,"Already showing a touch of bricking at the rim, this tobacco-accented Cabernet is ready to drink. Dried leaf and cedar notes blend easily with red and black currants on the nose and palate, gliding to a smooth, cigar-box finish. It shows more restraint than other Cabernets of the vintage, but still packs in ample weight and power. Drink now–2020.",Amery Vineyard Cuthbert,92,60.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Kay Brothers 2010 Amery Vineyard Cuthbert Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,Kay Brothers,#471163
62809,Australia,"Despite it's modest reported alcohol level, this is a plush, rounded example of Chardonnay, loaded with fruit. A whiff of woodsmoke frames pineapple and mango, adding complexity while still allowing the tropical notes to shine through. Drink now–2017.",Tarraford Vineyard,92,42.0,Victoria,Yarra Valley,,Joe Czerwinski,@JoeCz,Giant Steps 2011 Tarraford Vineyard Chardonnay (Yarra Valley),Chardonnay,Giant Steps,#440154
62837,Australia,"Bright gold in color, this wine's all about sweet tropical fruit, particularly pineapple and passion fruit. An undercurrent of smokiness on both the nose and the palate adds interest and complexity.",,85,8.0,Australia Other,South Eastern Australia,,,,Rothbury Estate 2002 Chardonnay (South Eastern Australia),Chardonnay,Rothbury Estate,#440154
62840,Australia,"An approachable wine that starts off with floral, peachy aromas and ripe peach and yellow fruit flavors. On the back palate, there's a burst of tropical fruit, plus some oak. Easy to drink, and easily to like.",Bear Crossing,85,7.0,South Australia,South Australia,,,,Angove's 2002 Bear Crossing Chardonnay (South Australia),Chardonnay,Angove's,#440154
62847,Australia,"Light in weight and subtle in flavor, this Chard is a welcome change from some of its mega-mallowy Oz compatriots. There are citrus and peach flavors on the palate and floral, yellow fruit aromas; it starts to get toasty with aeration.",,85,16.0,Western Australia,Western Australia,,,,Chalice Bridge 2001 Chardonnay (Western Australia),Chardonnay,Chalice Bridge,#440154
62856,Australia,"Feels rather full in the mouth, but the flavors aren't as big as its body. Dry, citrusy notes (lemon peel, lemonade) play on the palate and the finish. Nose offers lots of toast and butterscotch.",,84,30.0,South Australia,Coonawarra,,,,Balnaves of Coonawarra 1999 Chardonnay (Coonawarra),Chardonnay,Balnaves of Coonawarra,#440154
62857,Australia,"Rather dry in the mouth, with a minerally feel; flavors are similarly dry—think red apple skin, plus some pear. Has clarified butter and a plastic- or resin-like note on the nose, and toffee and cream on the finish.",,84,23.0,South Australia,Adelaide Hills,,,,Elysian Fields 2000 Chardonnay (Adelaide Hills),Chardonnay,Elysian Fields,#440154
62916,Australia,"Light floral and honeysuckle aromas are very pretty and compelling, as is the wine's citrus-laden palate. What an introduction to the variety—it's a good value, it's correct, and it's dry. Worth keeping a few bottles around the house.",,87,10.0,Australia Other,South Eastern Australia,,,,Rosemount 2003 Riesling (South Eastern Australia),Riesling,Rosemount,#443982
62918,Australia,"Bright, bouncy cherry and plum aromas; wood and earth are interspersed with mixed cherries on the palate. A straighforward, enjoyable Grenache.",Old Vine,87,18.0,South Australia,McLaren Vale,,,,Simon Hackett 2002 Old Vine Grenache (McLaren Vale),Grenache,Simon Hackett,#481C6E
62919,Australia,"Pretty plum fruit and pencil-eraser aromas lead to similar flavors, with a light underlay of fresh herb. Finishes a little brief, though with gummy tannins.",,87,19.0,South Australia,McLaren Vale,,,,Tapestry 2001 Shiraz (McLaren Vale),Shiraz,Tapestry,#471669
62920,Australia,"Mocha and coffee aromas preface a palate full of dark, earthy-briary character. Medium-bodied; closes with tangy, tealike tannins.",,87,18.0,South Australia,McLaren Vale,,,,Tintara 2003 Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,Tintara,#471163
62925,Australia,"From vines planted in 1982 comes this sturdy red, which features cherry and plum flavors, smooth tannins, and an herb-anise fiish. Fresh red fruit aromas are a nice beginning.",,87,35.43766346992153,South Australia,McLaren Vale,,,,Coriole 2003 Sangiovese (McLaren Vale),Sangiovese,Coriole,#1E978A
62927,Australia,"A fun, youthful wine. Juicy, chewy fruit on the palate isn't overpowered by lots of oak. Ripe plum and blackberry on the nose; finishes with less verve than the palate has.",d'Arry's Original,87,19.0,South Australia,McLaren Vale,,,,D'Arenberg 2002 d'Arry's Original Shiraz-Grenache (McLaren Vale),Shiraz-Grenache,D'Arenberg,#2D6E8E
62930,Australia,"Tangy melon and citrus flavors and a steely backbone characterize Merrill's reserve Chardonnay. There's oak here—mostly present on the nutty, toasty nose—but there's not much of it rounding out the palate, which makes it feel a little disjointed. Still, a very good wine.",Reserve,87,26.0,South Australia,McLaren Vale,,,,Geoff Merrill 1999 Reserve Chardonnay (McLaren Vale),Chardonnay,Geoff Merrill,#440154
62931,Australia,"Another screwcapped Merrill wine that was once part of its Owen Estate label. This Shiraz (35%), Grenache (35%), Mourvedre (30%) offers plum and oak flavors, the latter of the fresh-cut pine sort. Still, the wine is forward, lively and a good value, and sports a flourish of black cherry on the end.",Sz-Gren-M,87,20.0,South Australia,South Australia,,,,Geoff Merrill 2001 Sz-Gren-M Red (South Australia),Rhône-style Red Blend,Geoff Merrill,#2A768E
62935,Australia,"Vanilla and pepper aromas lead to sexy, vanilla and black cherry flavors on the palate and finish. A very good effort and an enjoyable wine, though a little heavy on the vanilla.",Old Vine,87,15.0,South Australia,McLaren Vale,,,,Normans 2002 Old Vine Grenache (McLaren Vale),Grenache,Normans,#481C6E
62937,Australia,"The nose offers a host of red aromas, including stewy, almost tomatoey fruit, and pretty red pencil eraser. A medium-sized wine on the palate, this Shiraz reprises the familiar red berries-plum-earth-oak theme, but does it well.",Red Dot,87,18.0,South Australia,McLaren Vale-Langhorne Creek,,,,Penny's Hill 2003 Red Dot Shiraz (McLaren Vale-Langhorne Creek),Shiraz,Penny's Hill,#471669
62941,Australia,"A very good year for the Diamond Label Shiraz. It's a chunky, sturdy red with mixed plums and a ribbon of mocha or chocolate from the nose through to the finish. Not overdone, and very enjoyable.",,87,12.0,Australia Other,South Eastern Australia,,,,Rosemount 2003 Shiraz (South Eastern Australia),Shiraz,Rosemount,#471669
62942,Australia,"An easy-drinking, overt wine, but an enjoyable one. Aromas are vibrant and springy—flowers, lemon-lime, mineral. The palate offers up fleshy yellow fruit and stony-mineral accents that carry through the finish.",Brightview,87,15.0,South Australia,Barossa Valley,,,,Simon Hackett 2004 Brightview Chardonnay (Barossa Valley),Chardonnay,Simon Hackett,#440154
62943,Australia,"Dark, smoky aromas have high-toned black cherry fruit underneath. On the palate, the smoke and black cherry continue, on a rather slight, feminine frame. A wine that will complement, not overpower, food.",Basket Pressed,87,24.0,South Australia,McLaren Vale,,,,Chateau Reynella 2002 Basket Pressed Grenache (McLaren Vale),Grenache,Chateau Reynella,#481C6E
62944,Australia,"Offers predominantly pear aromas and flavors, with a minerally feel that continues through the finish. It's a light, clean quaff that's just right for drinks on the veranda. The Chenin comes from 5 or 6 area growers, one of whom has 82-year-old Chenin bushvines. BB?",,87,16.0,South Australia,McLaren Vale,,,,Coriole 2004 Chenin Blanc (McLaren Vale),Chenin Blanc,Coriole,#97D83E
63417,Australia,"This Western outpost of Yalumba's empire has produced a supple Cabernet that's already approachable. Cedar, mocha and vanilla notes wreathe the red-berry fruit, giving this a woody but harmonious nature. Drink now–2025.",,90,22.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Ringbolt 2014 Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,Ringbolt,#471163
63428,Australia,"This is a full-bodied, rich and round Cabernet Sauvignon. Juicy, mouthwatering cassis fruit is framed by cedar, vanilla and baking spices, while the finish showcases fine tannins. Given the quality of this wine, it's a shame that Wynns' high-end john Riddoch Cab doesn't get exported to the U.S.",Black Label,90,40.0,South Australia,Coonawarra,,Joe Czerwinski,@JoeCz,Wynns Coonawarra Estate 2013 Black Label Cabernet Sauvignon (Coonawarra),Cabernet Sauvignon,Wynns Coonawarra Estate,#471163
63438,Australia,"This single vineyard wine is full bodied but crisp, with savory notes of roasted meat and campfire more in evidence than bold fruit. It finishes long and a bit tart.",The Vociferate Dipsomaniac Singe Vineyard,89,85.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2011 The Vociferate Dipsomaniac Singe Vineyard Shiraz (McLaren Vale),Shiraz,D'Arenberg,#471669
63549,Australia,"This is strongly marked by new oak on the nose at this stage, suggesting toast, brown sugar and coffee, but fruit comes through on the palate where hints of dark berries, cola, clove and cinnamon mingle. The wine is creamy and lush in texture, with ample weight and a lingering finish of dried fruit, vanilla and mocha. Drink from 2018 to 2025.",Coal River Valley Single Site,90,65.0,Tasmania,Tasmania,,Joe Czerwinski,@JoeCz,Dalrymple 2012 Coal River Valley Single Site Pinot Noir (Tasmania),Pinot Noir,Dalrymple,#414286
63562,Australia,"Tim Knappstein's decision to focus on the Adelaide Hills bears fruit in this terrific-value Pinot Noir. The aromas and flavors are a colorful mélange of beets, black cherries and purple heirloom tomatoes, backed by a rich texture and a long velvety finish. Drink now until 2020.",The Dagger,90,20.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Riposte 2014 The Dagger Pinot Noir (Adelaide Hills),Pinot Noir,Riposte,#414286
63915,Australia,"Fresh berry-salad aromas suggest tart, just-ripe summer fruits in this medium-bodied Shiraz filled with crunchy fruit. It's forward and smashable in the best sense, even if it's not profound.",Basalt Block,88,14.0,New South Wales,Hunter Valley,,Joe Czerwinski,@JoeCz,Hope Estate 2014 Basalt Block Shiraz (Hunter Valley),Shiraz,Hope Estate,#471669
64015,Australia,"Although not indicated on the label, this is 100% Mourvèdre, bone dry and barrel fermented. As a result, it's not your typical fresh and fruity rosé, showing instead dark, complex flavors of cola, chocolate tree bark and earth. Hints of strawberry lighten it somewhat, but this is almost more red than rosé. Drink now–2008.",Saignée,90,20.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Torbreck 2006 Saignée Rosé (Barossa Valley),Rosé,Torbreck,#450558
64020,Australia,"In a recent lineup of Australian sparklers, Clover Hill's 2003 Brut was a standout, showing convincing toasty, autolytic notes layered over crisp apple and citrus flavors. It's medium-bodied and slightly creamy in texture, with a long, crisp finish.",Brut,89,32.0,Tasmania,Tasmania,,Joe Czerwinski,@JoeCz,Clover Hill 2003 Brut  (Tasmania),Champagne Blend,Clover Hill,#30678D
64032,Australia,"This broad, mouthfilling Grenache rosé features hints of berries, chocolate and some herbaceous notes. It's more like a light red than a true rosé, showing considerable weight and body, then finishes dry, with a hint of minerality.",Enchanteur Rosé,89,25.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,The Colonial Estate 2006 Enchanteur Rosé Grenache (Barossa Valley),Grenache,The Colonial Estate,#481C6E
64153,Australia,"A step up from the solid 2013, this vintage offers more vivid raspberry fruit and cracked pepper. It's a bit jammy, but then some dried spices emerge on the finish, reining things in and imparting welcome complexity. Drink now–2023.",Warboys Vineyard,92,65.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Angove 2014 Warboys Vineyard Grenache (McLaren Vale),Grenache,Angove,#481C6E
64166,Australia,"Smoky, savory and plummy, this wine boasts ample weight and a plush, creamy texture. This rich, concentrated wine finishes with great length and silky tannins.",Warboys Vineyard,92,65.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Angove 2013 Warboys Vineyard Shiraz (McLaren Vale),Shiraz,Angove,#471669
64169,Australia,"Meaty and savory, this is surprisingly full-bodied and supple for a Yarra Valley Syrah. Blackberry and spice notes balance out the meatiness, imparting a bright, mouthwatering juiciness to the long finish.",Under Woods Steels Creek,92,55.0,Victoria,Yarra Valley,,Joe Czerwinski,@JoeCz,Ben Haines 2013 Under Woods Steels Creek Syrah (Yarra Valley),Syrah,Ben Haines,#287A8E
64263,Australia,"This is made in a full-blown style, with ripe peaches married to grilled nuts and plenty of toasty oak. Yet despite all of the fruit and oak intensity, there's crispness and structure as well, giving a sense of balance and elegance to the lingering citrus and cashew finish.",Reserve,91,60.0,Victoria,Yarra Valley,,Joe Czerwinski,@JoeCz,Yering Station 2006 Reserve Chardonnay (Yarra Valley),Chardonnay,Yering Station,#440154
64400,Australia,"Toasty oak frames dark, earthy flavors in this Cabernet from Western Australia. Despite being medium to full in body, it turns crisp on the finish, an enjoyable contradiction highlighted by tart plum notes and hints of tapenade. Drink now–2018.",,89,29.0,Western Australia,Mount Barker,,Joe Czerwinski,@JoeCz,Plantagenet 2008 Cabernet Sauvignon (Mount Barker),Cabernet Sauvignon,Plantagenet,#471163
64577,Australia,"The blend is 59% Shiraz, 41% Grenache in this medium-bodied, low-tannin red. The aromas are dark—black cherry and plum—but the flavors are redder and juicier, with raspberry notes backed by cinnamon and clove. The label may be a bit polarizing, but the wine inside is well made and a solid value.",Ass Kisser Fine Red Wine,87,10.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Rocland Estate 2005 Ass Kisser Fine Red Wine Red (South Australia),Rhône-style Red Blend,Rocland Estate,#2A768E
64620,Australia,"A bold wine, loaded with bright acidity but balanced with plenty of good body. It's redolent of grapefruit, gooseberry, fig, melon, fresh cut hay, lemon and mandarine orange. Long and fresh on the finish.",,91,16.0,South Australia,Adelaide Hills,,,,Groom 2002 Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Groom,#482172
64635,Australia,"This wine lacks a bit of intensity, but otherwise shows reasonably complex flavors of dried cherries and old wine barrels and a supple, creamy texure. Turns a bit tart and astringent on the finish, limiting its appeal.",,84,28.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Alta 2006 Pinot Noir (Adelaide Hills),Pinot Noir,Alta,#414286
64690,Australia,"A lean, crisp style of Chardonnay, with citrusy flavors and a touch of honeyed development. Drink it over the next few months.",Stone Cutting No Oak,87,20.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Pauletts 2009 Stone Cutting No Oak Chardonnay (Clare Valley),Chardonnay,Pauletts,#440154
64692,Australia,"A fruit-driven Cabernet, with cheerful, bright cherry-berry flavors. Tannins are firm but ripe, accenting the cassis-tinged close with a slightly dusty texture.",Cat Amongst the Pigeons Cat Walk,87,20.0,South Australia,Barossa,,Joe Czerwinski,@JoeCz,Rosedale Wines 2009 Cat Amongst the Pigeons Cat Walk Cabernet Sauvignon (Barossa),Cabernet Sauvignon,Rosedale Wines,#471163
64708,Australia,"Wakefield (known as Taylors in Australia) was founded in Clare with the goal of producing world-class Cabernet Sauvignon, so it's no surprise this wine is a solid effort. Cassis and black-tea notes are carried easily by the medium body and dusty tannins that turn silkier on the finish. Drink now–2025.",,89,17.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2013 Cabernet Sauvignon (Clare Valley),Cabernet Sauvignon,Wakefield,#471163
64804,Australia,"Despite the presence of Shiraz and Mataro in the blend, this shows some of Grenache's shortcomings in its straightforward, almost confected red berry aromas and flavors. It's a bold mouthful of fruit that's a bit syrupy in texture.",Cuvée Juveniles,85,22.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Torbreck 2008 Cuvée Juveniles Red (Barossa Valley),Rhône-style Red Blend,Torbreck,#2A768E
64809,Australia,"Known more for its red wines, Wolf Blass nevertheless makes a creditable Chardonnay for $12. hints of vanilla and toasted almond mark the nose, while the fruit flavors veer toward citrus and stay there, turning lemony on the finish.",Yellow Label,85,12.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Wolf Blass 2009 Yellow Label Chardonnay (South Australia),Chardonnay,Wolf Blass,#440154
64821,Australia,"Pineapples, pears and citrus fruits fall over each other in this soft, fruit-driven Chardonnay. It's medium in body, with just enough citrus on the finish to keep it together. A solid effort, especially for the price.",Reserve,85,12.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Yellow Tail 2008 Reserve Chardonnay (South Eastern Australia),Chardonnay,Yellow Tail,#440154
64829,Australia,"Citrus and pear notes lead the way in this bargain-priced Chardonnay from Down Under. It's reasonably tight and crisp for a wine in this bracket, carrying hints of well integrated vanilla through the lemony finish. Drink now.",,85,9.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,St. Kilda 2009 Chardonnay (South Eastern Australia),Chardonnay,St. Kilda,#440154
64914,Australia,"Another fine effort from Sidewood, a winery in the Adelaide Hills that is making some solid wines at realistic prices. Although this wine sees six months of French oak, the oak flavoring impact is minimal, and the wine shows ample fruit, ranging from pear and melon through peach and pineapple. It's a reasonably rich, fruity quaff for summertime drinking.",,88,18.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Sidewood 2013 Chardonnay (Adelaide Hills),Chardonnay,Sidewood,#440154
64952,Australia,"Here's a restrained, woodsy interpretation of Cabernet Sauvignon at an accessible price point. It's crisp, with good berry fruit in the mouth and a short finish of barely ripe raspberries. Drink up.",,83,8.0,South Australia,South Australia,,,,Oxford Landing 2008 Cabernet Sauvignon (South Australia),Cabernet Sauvignon,Oxford Landing,#471163
64984,Australia,"For the price, this is a remarkable achievement. It's a varietally correct, properly lightweight Pinot Noir imbued with attractive black cherry fruit. There's a charred-stave character that adds vanilla and a tinge of mocha as well. Drink now.",Reserve,85,13.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Jacob's Creek 2013 Reserve Pinot Noir (Adelaide Hills),Pinot Noir,Jacob's Creek,#414286
65014,Australia,"This wine provides plenty of drinking pleasure for a moderate tariff. Smoke, toast and vanilla aromas speak to barrel fermentation and aging, while the apple, pear, pineapple and citrus flavors show off top-notch fruit. It's all put together in a balanced, medium-weight package that finishes clean and fresh.",,88,20.0,Australia Other,Australia,,Joe Czerwinski,@JoeCz,Innocent Bystander 2007 Chardonnay (Australia),Chardonnay,Innocent Bystander,#440154
65169,Australia,"Green beans and grapefruit mark the nose; nectarine, pineapple and beans appear on the palate. At just 12.6% abv, it's reasonably plump and a bit sweet-tasting, making for a slightly disjointed package.",The Stump Jump,85,13.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,D'Arenberg 2015 The Stump Jump Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,D'Arenberg,#482172
65299,Australia,"This is one of the rare dry Australian Rieslings that's not so taut that it demands cellaring, and might just be at its best now. Aromas of beeswax and petrichor give way to flavors of honey, apple and citrus on the palate, while the finish boasts a rich, gravelly texture.",,88,17.0,Western Australia,Great Southern,,Joe Czerwinski,@JoeCz,Robert Oatley 2013 Riesling (Great Southern),Riesling,Robert Oatley,#443982
65317,Australia,"Unlike many an Australian Shiraz, this one sees only French oak barrels for aging. The result is a dense, blueberry-filled wine, supported by hints of toast and espresso. It's full-bodied but not tiring to drink, thanks to an enlivening burst of black pepper on the finish. Best Buy. —J.C.",Bridgewater Mill,88,15.0,Australia Other,Australia,,Joe Czerwinski,@JoeCz,Petaluma 1999 Bridgewater Mill Shiraz (Australia),Shiraz,Petaluma,#471669
65337,Australia,"Subtle black-pepper notes add an extra layer of complexity to smoke, earth, plum, blackberry and dried spices. This full-bodied, sturdy wine finishes with firm tannins and some lingering coffee notes. Should improve over the next 2 - 3 years. —J.C.",Bin 128,88,24.0,South Australia,Coonawarra,,Joe Czerwinski,@JoeCz,Penfolds 1999 Bin 128 Shiraz (Coonawarra),Shiraz,Penfolds,#471669
65341,Australia,"This big and broodingly dark wine is packed with grapey fruit and vanilla. The tannins on the finish are dusty but ripe and should preserve the wine for up to 10 years in the cellar. Still, why not drink it now with barbecue and savor the youthfully lusty fruit? —J.C.",,88,27.0,Victoria,Rutherglen,,Joe Czerwinski,@JoeCz,Warrabilla 2000 Petite Sirah (Rutherglen),Petite Sirah,Warrabilla,#26AC81
65442,Australia,"This bargain-priced offering boasts cool, restrained Cabernet aromas of cassis and mint, with just a touch of tomato creeping in. It's fairly weighty, with bold flavors of Ribena on the palate and soft tannins on the finish. Drink now.",Split River,86,10.0,Western Australia,Western Australia,,Joe Czerwinski,@JoeCz,Evans & Tate 2011 Split River Cabernet Sauvignon (Western Australia),Cabernet Sauvignon,Evans & Tate,#471163
65479,Australia,"Deceptively silky and elegant in texture, so much so that its power is easy to overlook. Cassis and tobacco flavors are typical, framed by touches of brown sugar, while the finish turns a bit lean and herbal, with tea-like tannins. 70% Cab Sauvignon, 25% Cab Franc, 5% Merlot.",Gaia,90,52.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Grosset 2004 Gaia Red (Clare Valley),Bordeaux-style Red Blend,Grosset,#1F938B
65482,Australia,"Taylors (exported under the Wakefield Estate label) is a top-notch source for Cabernet Sauvignon. The 2004 boasts a big nose of cassis, mint or eucalyptus and a touch of roasted peppers. It's mouthfilling, with plenty of soft tannins, then finishes with more cassis and a hint of coffee.",,90,17.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2004 Cabernet Sauvignon (Clare Valley),Cabernet Sauvignon,Wakefield,#471163
65487,Australia,"There's plenty of vanillin and cedary oak in this wine, but it's easily balanced by impressive levels of cassis and blackberry fruit. The texture in the mouth is creamy and supple, and the finish is long and vanilla-laden but silky, without any harsh wood tannins. The blend is 89% Cabernet Sauvignon and 10% Malbec, with bits of Petit Verdot and Merlot.",Frank Potts Red Wine,90,27.0,South Australia,Langhorne Creek,,Joe Czerwinski,@JoeCz,Bleasdale 2005 Frank Potts Red Wine Red (Langhorne Creek),Cabernet Blend,Bleasdale,#23A883
65493,Australia,"This wine starts off dark, laden with prune, cola and coffee notes, but it really freshens up with some air, developing a lively interplay between bright red-plum fruit and darker notes of earth and tobacco. It's richly textured with velvety tannnins that impart a slightly chewy feel at this stage; best from 2010–2018.",,90,30.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Vasse Felix 2004 Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,Vasse Felix,#471163
65495,Australia,"This is a big, fat, almost sweet-tasting Cabernet Sauvignon, with ripe fruit framed by lavish French oak redolent of cedar, vanilla and toasted coconut. Cassis and tobacco flavors wear the oak well, with berry-cherry flavors coming through on the finish. A good choice for steak, and it won't break the bank.",,90,22.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Tapestry 2005 Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,Tapestry,#471163
65504,Australia,"The tannins of this refined yet full-bodied Cabernet come across as sinfully silky in texture, giving the wine a sense of softness while still providing structure. Smoke, maple syrup and cassis notes gracefully intertwine on the nose and palate, then end on a long, cedar-laced finish. Drink now–2020.",The Visionary Limited Release,91,180.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2009 The Visionary Limited Release Cabernet Sauvignon (Clare Valley),Cabernet Sauvignon,Wakefield,#471163
